compound;isotherm_model;data_type;orig_freundlich_k;orig_freundlich_exponent;orig_freundlich_exp_type;orig_langmuir_qmax;orig_langmuir_kl;orig_param_units;orig_ce_units;orig_q_units;amanzi_freundlich_k;amanzi_freundlich_1n;amanzi_langmuir_qmax;amanzi_langmuir_kl;amanzi_units_note;gac_brand;gac_product;gac_type;gac_reactivation;water_matrix;influent_conc_min;influent_conc_max;influent_conc_unit;is_multicomponent;competition_notes;matrix_notes;fitting_method;source_title;source_authors;source_year;source_doi;source_url;notes
PFBA;freundlich;measured_batch;0.055;0.66;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;5.25246;0.66;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Calgon;F400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 0.055 × 1000^0.66 = 5.252
PFBA;freundlich;measured_batch;0.111;0.59;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;6.53616;0.59;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Norit;GAC 400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 0.111 × 1000^0.59 = 6.536
PFBA;freundlich;measured_batch;0.05;0.76;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;9.5273;0.76;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Evoqua;UC1240LD;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 0.05 × 1000^0.76 = 9.527
PFHxA;freundlich;measured_batch;13;0.44;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;271.6;0.44;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Calgon;F400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 13.0 × 1000^0.44 = 271.6
PFHxA;freundlich;measured_batch;22.9;0.4;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;362.9;0.4;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Norit;GAC 400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 22.9 × 1000^0.4 = 362.9
PFHxA;freundlich;measured_batch;18.5;0.43;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;360.7;0.43;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Evoqua;UC1240LD;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 18.5 × 1000^0.43 = 360.7
PFOA;freundlich;measured_batch;143;0.64;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;1.189e+04;0.64;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Calgon;F400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 143 × 1000^0.64 = 1.189e+04
PFOA;freundlich;measured_batch;133;0.76;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;2.534e+04;0.76;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Norit;GAC 400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 133 × 1000^0.76 = 2.534e+04
PFOA;freundlich;measured_batch;211;0.58;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;1.16e+04;0.58;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Evoqua;UC1240LD;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 211 × 1000^0.58 = 1.16e+04
PFNA;freundlich;measured_batch;954;0.47;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;2.452e+04;0.47;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Calgon;F400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 954 × 1000^0.47 = 2.452e+04
PFNA;freundlich;measured_batch;250;0.71;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;3.372e+04;0.71;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Norit;GAC 400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 250 × 1000^0.71 = 3.372e+04
PFNA;freundlich;measured_batch;567;0.49;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;1.673e+04;0.49;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Evoqua;UC1240LD;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 567 × 1000^0.49 = 1.673e+04
PFBS;freundlich;measured_batch;30.2;0.35;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;338.8;0.35;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Calgon;F400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 30.2 × 1000^0.35 = 338.8
PFBS;freundlich;measured_batch;34.7;0.39;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;513.3;0.39;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Norit;GAC 400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 34.7 × 1000^0.39 = 513.3
PFBS;freundlich;measured_batch;34;0.33;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;332.3;0.33;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Evoqua;UC1240LD;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 34.0 × 1000^0.33 = 332.3
PFHxS;freundlich;measured_batch;200;0.45;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;4477;0.45;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Calgon;F400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 200 × 1000^0.45 = 4477
PFHxS;freundlich;measured_batch;488;0.47;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;1.254e+04;0.47;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Norit;GAC 400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 488 × 1000^0.47 = 1.254e+04
PFHxS;freundlich;measured_batch;297;0.43;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;5791;0.43;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Evoqua;UC1240LD;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 297 × 1000^0.43 = 5791
PFOS;freundlich;measured_batch;810;0.48;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;2.231e+04;0.48;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Calgon;F400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 810 × 1000^0.48 = 2.231e+04
PFOS;freundlich;measured_batch;3592;0.32;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;3.276e+04;0.32;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Norit;GAC 400;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 3592 × 1000^0.32 = 3.276e+04
PFOS;freundlich;measured_batch;1174;0.43;1/n;;;(µg/g)(L/ng)^(1/n);ng/L;µg/g;2.289e+04;0.43;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Evoqua;UC1240LD;coal-based;none;organic-free water;10;10000;ng/L;false;single-solute;"no NOM; distilled/organic-free";batch curve fit;EPA WQTC PFAS GAC isotherm study;Burkhardt et al.;2020;;https://cfpub.epa.gov/si/si_public_file_download.cfm?Lab=CESER&p_download_id=546152;amanzi_k = 1174 × 1000^0.43 = 2.289e+04
PFBA;freundlich;measured_batch;0.82;0.44;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;17.1322;0.44;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vb-AC virgin bituminous;bituminous;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vb-AC; amanzi_k = 0.82 × 1000^0.44"
PFPeA;freundlich;measured_batch;2.21;0.41;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;37.5312;0.41;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vb-AC virgin bituminous;bituminous;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vb-AC; amanzi_k = 2.21 × 1000^0.41"
PFBS;freundlich;measured_batch;2.3;0.41;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;39.0596;0.41;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vb-AC virgin bituminous;bituminous;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vb-AC; amanzi_k = 2.3 × 1000^0.41"
PFHxA;freundlich;measured_batch;2.43;0.41;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;41.2673;0.41;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vb-AC virgin bituminous;bituminous;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vb-AC; amanzi_k = 2.43 × 1000^0.41"
PFHpA;freundlich;measured_batch;4.43;0.32;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;40.4021;0.32;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vb-AC virgin bituminous;bituminous;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vb-AC; amanzi_k = 4.43 × 1000^0.32"
PFHxS;freundlich;measured_batch;4.91;0.4;1/n;;;(ng/mg)(ng/L)^(-1/n);ng/L;ng/mg;77.8183;0.4;;;"K:(µg/g)(L/µg)^(1/n); qmax:µg/g; KL:L/µg; Ce:µg/L";Arkema;vb-AC virgin bituminous;bituminous;none;"tap water spiked 1 µg/L each PFAS; DOC 5 mg/L";1000;1000;ng/L;true;"8-PFAS mixture; pseudo-single-solute fit";"NOM present; competitive real water";batch Freundlich fit (Table 3);PFAS adsorption in drinking water by granular activated carbon;Cantoni et al.;2021;10.1016/j.scitotenv.2021.150214;https://doi.org/10.1016/j.scitotenv.2021.150214;"Table 3 vb-AC; amanzi_k = 4.91 × 1000^0.4"
